Threads SE Delegation DORA
1 0.268763313 0.268763313 0.261245458
2 0.63525874 0.364615963 0.409723092
4 1.176544293 0.657812304 0.680365869
8 2.281668964 1.153990728 1.131437163
18 4.807668212 2.755293823 2.349329658
36 8.686881343 3.274025811 2.958275905
54 9.498809673 3.973186318 3.138704423
72 9.893497056 4.356596918 3.140583887
