seconds district
0.00657325 68
0.008216586 76
0.010955524 40
0.013146638 6
0.01588553 12
0.018076644 51
0.01971998 68
0.021363315 23
0.023006651 27
0.038618337 0
0.041905008 9
0.044096076 29
0.047382793 69
0.049026128 89
0.052312799 99
0.055051692 58
0.056695027 90
0.074223939 54
0.075867274 87
0.078058388 61
0.082440616 65
0.085179508 69
0.087370622 44
0.089013958 75
0.090657293 52
0.092300629 21
0.094491742 20
0.097230635 9
0.100517306 46
0.102160641 81
0.105447312 92
0.107638426 34
0.110377318 93
0.112020654 25
0.115307325 70
0.118593996 49
0.121880667 23
0.124619559 40
0.126262894 7
0.136670686 41
0.138861799 58
0.139957356 83
0.142970138 33
0.145709031 8
0.147900144 86
0.150639037 58
0.153925708 86
0.157760157 51
0.158855714 35
0.161046828 48
0.162690163 16
0.164881277 20
0.166524613 83
0.169263505 84
0.18186241 14
0.183505746 64
0.18569686 38
0.188983531 22
0.192270201 53
0.195009094 75
0.196652429 7
0.199391322 75
0.202130214 41
0.204321328 30
0.205964664 21
0.208703556 31
0.211990227 75
0.213633562 73
0.215276898 37
0.220206904 90
0.223493575 75
0.22513691 50
0.235544702 9
0.238831372 80
0.240474708 37
0.242118043 55
0.244856936 35
0.248143607 95
0.249786942 10
0.251430278 18
0.25416917 52
0.255812505 46
0.258825287 47
0.262111958 47
0.263755293 64
0.266494186 10
0.269780857 97
0.271971971 36
0.273615306 87
0.27580642 77
0.278545312 81
0.281831983 40
0.283475319 35
0.286214211 14
0.289500882 13
0.291144217 31
0.29388311 25
0.296622002 3
0.310864243 22
0.329488711 87
0.332227604 45
0.333870939 23
0.33715761 52
0.338800945 22
0.340444281 58
0.342087616 65
0.345374287 27
0.34811318 12
0.349756515 34
0.353043186 44
0.354686521 20
0.356329857 93
0.358520971 51
0.361259863 56
0.363450977 96
0.365642091 49
0.367833205 89
0.36947654 20
0.371941544 73
0.373584879 97
0.375228214 98
0.37687155 94
0.379062664 80
0.380705999 12
0.383444892 5
0.385636006 66
0.387279341 85
0.389470455 77
0.391661569 46
0.393852683 61
0.396591575 4
0.399330468 62
0.402617138 0
0.404808252 79
0.419050493 57
0.421789385 0
0.423432721 5
0.425623835 24
0.428362727 24
0.430553841 84
0.432197177 62
0.433840512 48
0.435483847 50
0.437127183 37
0.439318297 68
0.441509411 35
0.443152746 0
0.445891639 34
0.448082752 22
0.449726088 98
0.451369423 54
0.454108316 47
0.455751651 23
0.459038322 27
0.461229436 64
0.463968328 26
0.466707221 69
0.469446113 14
0.472185006 45
0.47437612 85
0.476567234 51
0.478758347 23
0.48149724 9
0.484783911 51
0.487248914 30
0.489440028 6
0.491631142 2
0.494370034 21
0.497108927 30
0.500395598 92
0.503682268 28
0.506968939 24
0.515733395 44
0.51737673 58
0.52121118 30
0.522854515 13
0.525045629 85
0.527236743 41
0.529975636 18
0.533262306 38
0.536001199 88
0.539835648 25
0.541478984 57
0.545313433 20
0.547504547 4
0.550243439 44
0.551886775 83
0.554077889 18
0.55736456 15
0.560103452 47
0.562842344 48
0.565581237 33
0.567224572 54
0.569963465 13
0.572154579 83
0.574345693 8
0.576536806 27
0.57872792 9
0.580919034 89
0.58256237 84
0.585849041 11
0.588587933 37
0.591326825 30
0.594065718 51
0.59680461 7
0.598995724 20
0.60036517 58
0.610772962 8
0.612416297 93
0.614607411 47
0.616798525 70
0.618989639 60
0.621180753 18
0.623371867 6
0.626658538 27
0.629945208 14
0.632136322 75
0.634327436 76
0.637066329 18
0.639257443 2
0.641448557 99
0.643639671 98
0.646378563 91
0.648569677 0
0.650213012 85
0.652951905 8
0.65459524 21
0.657334133 70
0.658977468 38
0.66171636 17
0.663359696 96
0.665003031 21
0.667194145 31
0.669385259 7
0.671028595 80
0.673219709 56
0.674863044 64
0.676506379 37
0.678697493 58
0.680340829 18
0.681984164 9
0.684175278 60
0.687461949 18
0.689105284 52
0.69074862 60
0.702799747 36
0.712111981 69
0.713755316 75
0.716220319 61
0.718959212 98
0.720602547 45
0.72334144 66
0.726080332 36
0.727723667 28
0.729367003 68
0.732653674 20
0.733749231 46
0.735392566 15
0.737035902 68
0.739227016 48
0.740870351 25
0.743609243 24
0.746348136 27
0.749087028 34
0.750730364 88
0.752373699 62
0.755112592 70
0.756755927 53
0.759494819 37
0.760590376 4
0.763329269 36
0.765520383 53
0.767163718 30
0.768807054 22
0.770450389 43
0.773189281 27
0.776475952 80
0.779214845 93
0.78085818 77
0.783597073 95
0.785240408 86
0.7879793 51
0.790718193 95
0.792909307 15
0.794004864 33
0.795648199 51
0.798387092 86
0.801125984 7
0.813177111 40
0.814820446 23
0.817559338 77
0.819750452 55
0.821941566 43
0.824680459 84
0.827419351 85
0.830432133 99
0.833171025 3
0.835362139 15
0.837553253 21
0.839196589 74
0.840839924 36
0.842483259 31
0.844674373 20
0.847413266 52
0.849056601 28
0.851795494 68
0.854534386 11
0.8567255 28
0.859464392 46
0.861107728 78
0.86384662 90
0.865489956 41
0.869324405 83
0.87096774 63
0.872611076 48
0.875349968 45
0.876993304 97
0.878636639 63
0.880827753 68
0.882471089 71
0.885209981 14
0.887948873 19
0.891235544 88
0.89287888 21
0.894522215 53
0.897261108 50
0.9 56
