Threads SE Delegation DORA
1 0 0 0
2 -0.000582977 0.001748931 0.001748931
4 0.001748931 0.004080839 0.004080839
8 0.008744656 0.015740381 0.011076564
18 0.050719005 0.083365721 0.081033813
36 0.295569374 0.337543723 0.379518072
54 0.666342791 0.729304314 0.831908278
72 1.029343179 1.215895841 1.333268558
