seconds district
0 90
0.003286671 2
0.005477739 48
0.007121075 66
0.00876441 25
0.013694462 60
0.018624468 46
0.020815537 60
0.039166161 14
0.040809406 95
0.064363926 77
0.067650597 86
0.069293932 40
0.070937268 98
0.074223939 70
0.076415053 37
0.078058388 88
0.079701723 88
0.081892837 59
0.083536173 91
0.088466179 71
0.090109515 29
0.104899534 24
0.107638426 2
0.110377318 27
0.112020654 58
0.115307325 52
0.11695066 38
0.120237331 80
0.122428445 63
0.12407178 22
0.125715116 54
0.128454008 93
0.130645122 32
0.134479572 84
0.136122907 39
0.146804587 16
0.148995701 42
0.150639037 65
0.153377929 62
0.155569043 38
0.158307936 99
0.161594606 4
0.16378572 39
0.165976834 51
0.168167948 99
0.172002398 86
0.173645733 81
0.175836847 94
0.177480182 2
0.180219075 96
0.182957967 3
0.185149081 14
0.188435752 72
0.197747986 11
0.199391322 59
0.201582436 97
0.20377355 78
0.205416885 23
0.207607999 85
0.209799113 63
0.211442448 23
0.213085784 37
0.216920233 87
0.219111347 3
0.221302461 97
0.223493575 43
0.225684689 15
0.228423581 86
0.230614695 5
0.233353588 27
0.234996923 48
0.236640259 98
0.238283594 99
0.241022486 74
0.2432136 22
0.244856936 7
0.248143607 48
0.249786942 34
0.252525834 23
0.255812505 28
0.25772973 41
0.259373065 70
0.261016401 52
0.263755293 97
0.265946407 31
0.267589743 30
0.269233078 17
0.271971971 11
0.292239774 92
0.29388311 59
0.295526445 92
0.297717559 84
0.300456452 33
0.302099787 80
0.303743123 85
0.307577572 27
0.309220907 44
0.310864243 55
0.312507578 58
0.316342028 16
0.317985363 78
0.321819812 5
0.323463148 79
0.326749819 28
0.33003649 23
0.331679825 48
0.334418718 26
0.337705388 2
0.339348724 88
0.340444281 35
0.343730952 81
0.345374287 78
0.34811318 24
0.350852072 28
0.352495407 58
0.354686521 73
0.356329857 17
0.358520971 64
0.361259863 62
0.363998756 47
0.365642091 40
0.367285426 88
0.368928762 3
0.377967107 5
0.379610442 1
0.381801556 35
0.383444892 46
0.385636006 61
0.387827119 85
0.390566012 62
0.393304904 23
0.395496018 54
0.397139354 34
0.398782689 19
0.401521582 98
0.403164917 57
0.404808252 84
0.406451588 11
0.408642702 22
0.410286037 8
0.414120487 3
0.417407158 12
0.420693828 20
0.423980499 27
0.428910506 57
0.432197177 1
0.437127183 53
0.440413854 69
0.443700525 62
0.44534386 84
0.448082752 81
0.451369423 28
0.453012759 63
0.45629943 7
0.461229436 72
0.465611664 96
0.467254999 59
0.468898335 4
0.471637227 3
0.482045018 55
0.487796692 39
0.490535585 88
0.494370034 60
0.49601337 29
0.497656705 92
0.499847819 59
0.501491154 48
0.503682268 34
0.506421161 59
0.509707832 8
0.511351167 69
0.512994503 55
0.515733395 53
0.519020066 69
0.520663401 77
0.526141186 75
0.5283323 26
0.529975636 7
0.531618971 2
0.532714528 83
0.534905642 29
0.537644534 84
0.53928787 23
0.540931205 6
0.543670098 62
0.545313433 14
0.548052325 21
0.551886775 45
0.554625667 20
0.556269003 52
0.557912338 38
0.559555674 4
0.561199009 29
0.562842344 68
0.576536806 49
0.580371256 5
0.583657927 34
0.585849041 51
0.588587933 34
0.590779047 53
0.591874604 83
0.594065718 41
0.59680461 92
0.598995724 31
0.601460727 3
0.603104063 48
0.604747398 28
0.606938512 12
0.608581848 68
0.610772962 9
0.615155189 2
0.616798525 30
0.620085196 68
0.622824088 65
0.626658538 37
0.628301873 10
0.629945208 81
0.631588544 3
0.633779658 16
0.635970772 72
0.637614107 45
0.640353 22
0.643639671 80
0.646378563 80
0.648021898 17
0.650760791 29
0.652404126 8
0.65459524 98
0.667741924 77
0.675410822 20
0.677054158 37
0.67979305 35
0.681984164 21
0.686914171 8
0.69074862 58
0.694583069 28
0.698417519 56
0.700060854 13
0.70170419 72
0.70499086 98
0.706634196 0
0.70882531 59
0.710468645 17
0.712111981 68
0.713755316 13
0.715672541 15
0.718411433 82
0.720602547 80
0.722245883 91
0.724984775 45
0.729914781 21
0.732105895 33
0.733749231 5
0.735940345 86
0.737035902 12
0.739774794 93
0.743061465 63
0.745800357 68
0.747443693 21
0.749087028 16
0.750730364 61
0.753469256 28
0.754564813 63
0.760590376 67
0.762233712 63
0.763877047 16
0.774832617 18
0.778119288 46
0.779762623 75
0.781953737 61
0.784144851 34
0.785788187 94
0.788527079 42
0.790170414 72
0.792361528 97
0.794004864 33
0.796195978 22
0.799482649 65
0.803317098 3
0.804412655 0
0.80605599 77
0.809342661 57
0.812081554 59
0.815368225 16
0.81701156 29
0.818654895 73
0.820298231 36
0.822489345 29
0.82413268 20
0.826871573 30
0.829884354 83
0.83152769 38
0.834266582 91
0.837005475 6
0.840292145 66
0.843031038 72
0.844674373 15
0.846317709 36
0.850152158 19
0.851795494 83
0.854534386 53
0.8567255 94
0.859464392 81
0.862751063 68
0.864942177 72
0.866585513 97
0.869324405 72
0.872063297 30
0.884114424 21
0.885757759 34
0.890139987 80
0.891783323 12
0.894522215 86
0.897808886 30
0.899452222 3
