Threads DL_DETECT NO_WAIT WAIT_DIE TICTOC SILO OCC
1 0.072796579 0.072796579 0.071123094 0.080327259 0.077817032 0.079490517
2 0.1464299 0.159817776 0.139735961 0.166511714 0.174042395 0.154797322
4 0.336370398 0.348921532 0.347248048 0.390758646 0.398289327 0.317962068
8 0.676087765 0.689475642 0.665210115 0.756415024 0.778170324 0.606638155
18 1.430829305 1.455931573 1.453421346 1.656749721 1.672647824 1.045927854
36 0.827538118 0.886110078 0.800762365 3.153681666 3.177947192 0.785701004
54 0.508739308 0.514596504 0.507065824 4.501673485 4.638899219 0.697006322
72 0.423391595 0.449330606 0.434269245 5.848828561 5.923298624 0.665210115
