seconds district
0 8
0.001643335 89
0.003286671 92
0.004930006 8
0.00876441 61
0.010407746 84
0.012051081 18
0.013694462 34
0.030949439 10
0.034783888 77
0.039713894 14
0.04135723 57
0.043000565 21
0.044643901 59
0.047930617 64
0.050669464 33
0.052860578 5
0.05559947 26
0.057242806 60
0.062720591 32
0.066007261 60
0.068746154 0
0.071485046 9
0.07367616 46
0.075319496 87
0.078058388 94
0.079701723 63
0.082988394 70
0.092300629 18
0.095039521 44
0.09887397 98
0.100517306 46
0.103803977 6
0.106542869 63
0.108186205 78
0.112568432 39
0.114211768 65
0.120237331 58
0.125715116 44
0.12790623 71
0.137218464 30
0.14242236 77
0.144065695 41
0.145709031 42
0.147900144 93
0.14954348 62
0.153377929 77
0.155569043 28
0.157212379 84
0.161046828 20
0.16378572 76
0.167072391 16
0.168715727 69
0.170906841 38
0.173645733 41
0.178575739 99
0.181314632 42
0.193913537 77
0.197200208 8
0.198843543 18
0.200486879 90
0.202130214 58
0.20377355 33
0.205964664 44
0.207607999 62
0.23609248 72
0.239379151 45
0.241570265 34
0.2432136 81
0.247595828 17
0.249239164 84
0.251978056 29
0.255812505 31
0.259373065 62
0.261016401 17
0.263755293 69
0.265946407 53
0.282379762 52
0.284023097 58
0.285666433 16
0.288953104 20
0.290596439 15
0.292787553 63
0.294430888 66
0.297169781 1
0.298813116 1
0.303195344 20
0.306482015 11
0.30812535 31
0.310864243 37
0.313055357 73
0.315246471 63
0.316889806 11
0.318533142 2
0.320176477 1
0.324558705 26
0.327845376 14
0.329488711 6
0.332227604 75
0.333870939 89
0.336609831 43
0.338253167 19
0.340444281 15
0.343183173 66
0.345374287 7
0.34811318 7
0.35139985 46
0.353043186 39
0.3552343 54
0.356877635 27
0.358520971 59
0.360712085 8
0.36235542 25
0.374132657 8
0.37687155 9
0.379062664 29
0.380705999 79
0.38399267 91
0.386731563 16
0.388922676 88
0.390566012 51
0.393304904 17
0.396591575 42
0.399878246 36
0.401521582 98
0.403164917 22
0.405903809 36
0.407547145 79
0.40919048 46
0.410833816 80
0.41302493 48
0.414668265 39
0.416311601 59
0.420693828 86
0.422337164 47
0.426171613 33
0.428910506 51
0.432744955 3
0.43438829 15
0.436579404 70
0.438770518 59
0.441509411 67
0.443152746 63
0.44534386 96
0.446987196 12
0.448630531 28
0.45246498 73
0.455203873 90
0.458490544 38
0.461777215 93
0.46342055 52
0.465063885 78
0.479306126 32
0.480949461 76
0.482592797 52
0.484236132 25
0.485605578 85
0.487248914 76
0.488892249 56
0.493274477 94
0.49601337 45
0.498752262 88
0.501491154 3
0.50313449 72
0.504230047 80
0.506968939 72
0.509160053 94
0.510803389 31
0.512994503 55
0.515185617 70
0.517924509 79
0.519567844 34
0.522306737 47
0.526688965 39
0.5283323 73
0.529975636 60
0.531618971 46
0.533262306 56
0.53545342 38
0.537644534 47
0.540383427 3
0.542574541 66
0.544217876 20
0.545861211 96
0.549695661 39
0.551338996 79
0.554625667 44
0.565033458 2
0.566676794 79
0.568867908 5
0.570511243 36
0.573250136 97
0.57544125 28
0.578180142 81
0.580919034 11
0.583657927 13
0.585301262 97
0.588587933 27
0.591874604 29
0.594613496 59
0.596256832 21
0.598447946 82
0.60036517 69
0.603104063 63
0.606938512 1
0.608581848 14
0.609677405 14
0.612416297 15
0.614059632 97
0.616798525 83
0.61844186 86
0.620085196 28
0.621728531 91
0.623371867 6
0.625015202 62
0.628301873 12
0.629945208 20
0.632684101 41
0.634875215 26
0.63651855 3
0.638161886 69
0.639805221 78
0.643091892 17
0.644187449 78
0.646926341 25
0.648569677 27
0.668289702 31
0.671028595 61
0.67267193 40
0.674863044 9
0.676506379 82
0.678697493 52
0.681436386 30
0.684175278 6
0.686366392 58
0.689653063 3
0.691296398 23
0.694035291 97
0.695678626 24
0.697321962 7
0.698965297 24
0.700608633 91
0.702251968 65
0.704443082 98
0.707181974 29
0.709920867 23
0.711564202 67
0.713207538 6
0.714576984 5
0.716768098 90
0.718959212 74
0.720602547 22
0.722793661 18
0.725532554 68
0.727723667 39
0.729367003 46
0.731010338 75
0.733201452 23
0.734844788 6
0.738131459 57
0.740870351 53
0.743609243 30
0.747443693 58
0.749087028 4
0.752373699 66
0.754017035 5
0.75566037 95
0.760042598 25
0.769354832 73
0.772093724 2
0.77373706 0
0.776475952 68
0.777571509 72
0.779762623 64
0.78085818 70
0.783049294 46
0.78469263 51
0.786883744 83
0.789622636 83
0.79181375 37
0.794552642 8
0.796195978 27
0.798387092 41
0.801125984 44
0.803317098 2
0.807151547 63
0.80989044 64
0.812629332 69
0.814272668 40
0.81701156 44
0.818654895 66
0.820846009 1
0.822489345 55
0.824680459 5
0.827419351 23
0.829336576 55
0.830979911 53
0.833718804 72
0.836457696 25
0.838101032 0
0.840839924 11
0.842483259 83
0.844674373 60
0.846317709 56
0.849056601 88
0.850699937 79
0.852343272 60
0.853986608 73
0.8567255 46
0.858368835 18
0.860012171 10
0.86384662 81
0.865489956 97
0.880279975 80
0.88192331 82
0.884662203 89
0.886853316 35
0.889592209 97
0.891783323 14
0.893974437 2
0.895617772 90
0.898356665 18
0.9 58
