seconds district
0.001095511 17
0.002738847 47
0.004382182 14
0.006025518 91
0.007668853 10
0.014789973 74
0.016433309 72
0.018624468 27
0.020267713 97
0.021911048 84
0.023554383 14
0.028210546 24
0.030949439 0
0.032592774 96
0.036975002 6
0.050121685 5
0.053408356 20
0.055051692 28
0.058338363 30
0.059981698 64
0.061625034 83
0.064363926 3
0.067102818 76
0.071485046 47
0.089561736 78
0.091205072 62
0.093943964 52
0.09887397 21
0.104899534 29
0.106542869 77
0.108733983 54
0.110377318 29
0.113663989 7
0.115307325 4
0.11695066 76
0.118593996 29
0.121332888 47
0.122976224 45
0.128454008 30
0.130097344 45
0.134479572 47
0.136122907 40
0.138314021 87
0.139409578 16
0.141052913 35
0.153377929 14
0.159951271 19
0.161594606 91
0.165976834 13
0.168167948 52
0.170359062 59
0.173645733 49
0.175289069 55
0.176932404 35
0.179123518 17
0.180766853 28
0.182957967 98
0.185149081 40
0.187340195 91
0.197200208 98
0.198843543 23
0.200486879 4
0.203225771 67
0.204869107 80
0.20706022 97
0.209251334 46
0.212538005 78
0.215276898 73
0.217468012 97
0.219111347 15
0.221850239 22
0.226232467 11
0.228423581 80
0.231710252 67
0.233353588 62
0.234996923 33
0.237735815 10
0.239379151 66
0.241022486 86
0.250334721 88
0.253073613 76
0.254716948 23
0.256360284 32
0.258277509 45
0.261016401 71
0.264303072 54
0.267041964 46
0.2686853 71
0.270328635 29
0.271971971 61
0.275258641 52
0.276901977 6
0.278545312 8
0.281831983 65
0.283475319 6
0.285118654 4
0.287309768 68
0.288953104 73
0.291144217 97
0.292787553 21
0.294978667 39
0.298265338 75
0.301552009 56
0.303743123 30
0.305386458 97
0.307577572 2
0.309768686 3
0.3119598 91
0.316889806 45
0.318533142 28
0.320724255 7
0.322915369 69
0.324558705 76
0.347017623 84
0.349756515 78
0.35139985 49
0.353043186 49
0.355782078 46
0.357973192 99
0.359616528 33
0.362903199 82
0.365642091 92
0.367285426 9
0.370572097 37
0.372489322 26
0.375228214 25
0.377967107 46
0.379610442 33
0.381253778 96
0.38399267 81
0.387279341 22
0.388922676 47
0.391661569 48
0.394400461 28
0.397687132 28
0.399330468 36
0.401521582 12
0.404808252 8
0.406451588 26
0.408094923 55
0.409738259 83
0.411929373 76
0.414668265 76
0.419050493 36
0.43438829 91
0.437127183 93
0.438770518 41
0.440961632 33
0.443700525 92
0.447534974 29
0.449726088 60
0.451369423 94
0.453012759 40
0.45629943 13
0.457942765 63
0.459586101 2
0.461229436 77
0.463968328 6
0.466707221 18
0.469993892 63
0.472732784 93
0.47437612 13
0.478758347 68
0.482045018 49
0.485605578 64
0.487796692 82
0.489987806 41
0.494370034 8
0.496561148 38
0.499300041 47
0.500943376 88
0.504230047 57
0.509160053 7
0.512994503 4
0.515185617 19
0.516828952 49
0.520663401 62
0.532714528 11
0.534357863 45
0.536548977 42
0.538192313 83
0.539835648 97
0.542574541 69
0.545861211 99
0.548052325 28
0.555721224 96
0.558460117 96
0.560103452 49
0.563390123 5
0.566676794 79
0.568867908 28
0.570511243 76
0.572154579 27
0.573250136 82
0.57544125 23
0.577084585 6
0.579823477 77
0.582014591 31
0.584205705 2
0.585301262 92
0.588587933 15
0.590231269 8
0.591874604 31
0.594613496 38
0.597352389 71
0.598995724 10
0.602008506 43
0.603651841 6
0.604747398 87
0.607486291 94
0.609129626 18
0.612416297 30
0.614607411 0
0.626110759 28
0.627754095 58
0.62939743 59
0.632684101 91
0.635422993 50
0.638709664 80
0.640900778 64
0.644735227 75
0.646926341 54
0.648569677 48
0.650213012 17
0.651856348 78
0.653499683 82
0.655143019 94
0.656238576 66
0.65842969 78
0.660073025 5
0.662264139 17
0.663907474 32
0.66555081 48
0.667194145 25
0.668837481 90
0.670480816 5
0.673219709 98
0.675958601 7
0.677601936 82
0.679245272 78
0.684175278 77
0.686914171 9
0.688557506 96
0.690200841 75
0.691844177 17
0.693487512 31
0.696226405 15
0.698417519 20
0.700060854 22
0.70170419 44
0.70499086 71
0.718411433 22
0.726628111 14
0.729367003 90
0.731558117 26
0.734297009 0
0.737035902 91
0.738131459 42
0.739774794 85
0.74141813 94
0.744157022 41
0.745800357 18
0.746895914 93
0.74853925 73
0.750182585 82
0.752921478 66
0.754564813 99
0.756755927 18
0.760042598 36
0.76278149 84
0.76661594 28
0.769354832 23
0.770998168 28
0.772093724 18
0.77373706 10
0.777023731 22
0.779214845 32
0.78085818 71
0.781953737 4
0.7879793 76
0.789622636 67
0.792361528 95
0.794004864 48
0.795648199 8
0.797291535 41
0.800030427 56
0.802769319 31
0.804412655 10
0.807151547 68
0.80989044 81
0.812081554 25
0.814272668 1
0.815916003 68
0.826323794 54
0.828514908 3
0.830432133 80
0.832075468 58
0.833718804 39
0.835362139 7
0.838101032 49
0.839744367 60
0.842483259 43
0.844126595 13
0.846865487 69
0.848508823 33
0.850152158 2
0.852343272 67
0.854534386 86
0.856177721 50
0.857821057 29
0.860012171 91
0.862751063 62
0.86384662 97
0.865489956 70
0.86768107 40
0.872063297 19
0.873706633 90
0.875349968 37
0.876993304 88
0.879732196 84
0.881375532 8
0.884114424 64
0.886853316 34
0.888496652 46
0.891235544 3
0.89287888 29
0.895617772 47
0.897261108 58
0.898904443 95
