Threads SE Delegation DORA
1 0.249206548 0.200224916 0.236511308
2 0.306485068 0.064175934 0.055179308
4 0.293290016 0.038385605 0.029388979
8 0.347869549 0.039585156 0.030588529
18 0.46122704 0.044383356 0.029988754
36 0.587779583 0.041384481 0.011995502
54 0.64175934 0.037186055 0.010196176
72 0.683943521 0.03378733 0.009396476
