seconds district
0.002738847 21
0.004382182 98
0.008216586 84
0.009859921 13
0.015337797 66
0.016981133 41
0.018624468 24
0.020267713 46
0.021911048 8
0.023554383 3
0.025197719 1
0.030949439 63
0.033140553 72
0.035331666 96
0.036975002 35
0.038618337 32
0.040261673 64
0.062172812 21
0.064911704 40
0.06655504 52
0.070937268 42
0.074223939 0
0.086275065 46
0.088466179 38
0.09175285 87
0.093943964 50
0.096135078 77
0.097778413 19
0.101065084 77
0.104351755 30
0.107638426 80
0.12407178 46
0.125715116 40
0.127358451 33
0.129549565 64
0.131192901 53
0.132836236 20
0.134479572 88
0.136122907 17
0.138314021 74
0.139957356 89
0.141600692 48
0.144613474 72
0.146256809 87
0.147900144 24
0.14954348 41
0.151186815 58
0.156116822 74
0.159403493 94
0.161046828 7
0.16378572 3
0.166524613 4
0.169263505 23
0.170906841 65
0.173645733 79
0.18569686 41
0.187887974 51
0.190079088 75
0.191722423 32
0.193913537 11
0.200486879 19
0.202130214 44
0.20377355 20
0.205964664 93
0.21801579 67
0.220206904 98
0.232805809 72
0.234449145 16
0.237735815 29
0.241022486 74
0.243761379 40
0.245404714 2
0.24704805 62
0.249786942 41
0.251430278 93
0.25416917 5
0.256360284 49
0.259373065 13
0.262111958 80
0.264303072 27
0.265946407 19
0.268137521 3
0.269780857 55
0.271971971 57
0.273615306 54
0.275258641 38
0.277449755 29
0.288953104 53
0.303195344 32
0.305934236 53
0.307577572 47
0.309768686 65
0.312507578 88
0.314150914 35
0.316889806 91
0.318533142 85
0.320724255 63
0.322367591 10
0.324010926 25
0.325654262 4
0.328393154 95
0.33003649 48
0.332775382 77
0.334418718 8
0.336609831 60
0.338253167 60
0.339896502 79
0.342635395 19
0.34427873 99
0.345922066 99
0.347565401 46
0.350852072 48
0.352495407 78
0.354138743 63
0.355782078 79
0.359616528 27
0.382349335 77
0.384540449 36
0.386183784 28
0.390018233 69
0.392757126 31
0.39494824 76
0.398234911 70
0.401521582 13
0.403712695 24
0.406999366 5
0.408642702 46
0.410833816 82
0.412477151 90
0.414668265 64
0.416859379 60
0.419050493 68
0.420693828 98
0.422884942 14
0.425623835 6
0.428910506 23
0.431649398 25
0.434936069 90
0.436579404 98
0.43822274 54
0.440413854 11
0.443700525 41
0.445891639 78
0.448082752 42
0.450273866 56
0.45246498 39
0.454656094 95
0.45629943 52
0.469993892 69
0.471637227 39
0.473828341 19
0.477662791 21
0.479306126 84
0.48149724 25
0.483688354 86
0.486153357 24
0.489440028 39
0.491631142 50
0.493274477 55
0.494917813 38
0.496561148 52
0.498752262 14
0.500943376 45
0.503682268 58
0.508064496 88
0.51025561 95
0.512994503 63
0.515733395 65
0.517924509 91
0.519567844 85
0.521758958 16
0.523950072 46
0.525593408 50
0.528880079 43
0.531071192 58
0.533810085 45
0.536548977 22
0.538740091 50
0.542026762 79
0.543670098 66
0.54640899 96
0.549147882 34
0.550791218 59
0.552434553 8
0.554625667 81
0.55736456 9
0.566676794 69
0.568320129 85
0.569963465 67
0.5716068 65
0.573250136 22
0.574893471 19
0.578180142 6
0.580919034 2
0.58256237 75
0.585849041 91
0.587492376 26
0.589135712 82
0.590231269 9
0.592422382 43
0.594065718 13
0.59680461 45
0.60036517 15
0.603104063 14
0.606938512 80
0.610225183 66
0.611868519 45
0.615155189 94
0.617346303 48
0.619537417 41
0.621728531 61
0.623371867 27
0.627206316 11
0.628849651 59
0.630492987 55
0.633231879 51
0.634327436 52
0.63651855 76
0.640353 36
0.641996335 0
0.643639671 83
0.645830784 45
0.64747412 86
0.649665234 32
0.650760791 19
0.664455253 95
0.666646367 66
0.668289702 88
0.669385259 59
0.673219709 14
0.674863044 59
0.678149715 23
0.680888607 62
0.682531943 98
0.684175278 28
0.686914171 42
0.688557506 64
0.692391955 18
0.695130848 97
0.69786974 92
0.699513076 53
0.701156411 32
0.704443082 70
0.707729753 51
0.710468645 33
0.713207538 57
0.716220319 30
0.717863655 81
0.721698104 0
0.724436997 5
0.726080332 89
0.728271446 39
0.729914781 28
0.732105895 54
0.733749231 7
0.736488123 69
0.739227016 88
0.740870351 42
0.742513686 48
0.754564813 87
0.763877047 65
0.76661594 93
0.768259275 19
0.770998168 9
0.77373706 34
0.776475952 7
0.778119288 49
0.779762623 24
0.784144851 28
0.785788187 67
0.7879793 41
0.789622636 81
0.791265971 65
0.795100421 22
0.796743756 91
0.798387092 25
0.801125984 59
0.803864876 16
0.805508212 96
0.807699326 48
0.80989044 63
0.813177111 58
0.815368225 25
0.81701156 83
0.819202674 44
0.821941566 7
0.82413268 67
0.826323794 79
0.82796713 84
0.830979911 90
0.835362139 95
0.837005475 57
0.839744367 99
0.843031038 56
0.844674373 4
0.847413266 84
0.849056601 46
0.851795494 44
0.865489956 35
0.867133291 99
0.869872183 94
0.871515519 68
0.874254411 58
0.875897747 22
0.877541082 94
0.879732196 55
0.880827753 65
0.884114424 60
0.885757759 53
0.887401095 87
0.88904443 41
0.891783323 82
0.893426658 96
0.895069994 59
0.896713329 64
0.898904443 88
