seconds district
0.007668853 46
0.009312189 3
0.012051081 30
0.013694462 92
0.024649986 19
0.028210546 70
0.04135723 28
0.043000565 36
0.044643901 26
0.053408356 61
0.05559947 33
0.057242806 70
0.061625034 22
0.064363926 6
0.06655504 74
0.076962831 69
0.078058388 75
0.080249502 65
0.082440616 70
0.084083951 90
0.087370622 43
0.090657293 24
0.092848407 71
0.094491742 83
0.096682856 57
0.09887397 89
0.101065084 77
0.119141774 50
0.121880667 12
0.123524002 28
0.129549565 83
0.131192901 3
0.132836236 25
0.147352366 93
0.14954348 19
0.151186815 53
0.152830151 23
0.154473486 21
0.157212379 51
0.16049905 58
0.162142385 74
0.164333499 78
0.165976834 82
0.169811284 44
0.179671296 4
0.181314632 8
0.184601303 99
0.188983531 48
0.192270201 67
0.195009094 67
0.197200208 94
0.199391322 88
0.201034657 71
0.202677993 84
0.205964664 27
0.207607999 96
0.215276898 22
0.224589132 71
0.226232467 27
0.229519138 84
0.231162474 14
0.233901366 40
0.237188037 57
0.238831372 12
0.241022486 57
0.242665822 36
0.245404714 87
0.248691385 8
0.250334721 8
0.253621391 1
0.257181952 99
0.259373065 47
0.261016401 33
0.263755293 22
0.265946407 67
0.267589743 8
0.277997534 8
0.281284205 9
0.28292754 90
0.285118654 61
0.287309768 73
0.288953104 40
0.290596439 14
0.292239774 8
0.294978667 57
0.296622002 7
0.298265338 27
0.30100423 29
0.302647566 96
0.304290901 5
0.306482015 71
0.30812535 99
0.310316464 77
0.312507578 12
0.314150914 70
0.316889806 46
0.31908092 27
0.322367591 5
0.324558705 73
0.32620204 81
0.327845376 81
0.33003649 20
0.331679825 35
0.333323161 86
0.336062053 35
0.337705388 87
0.339348724 53
0.342635395 47
0.344826509 10
0.346469844 89
0.348660958 36
0.350852072 20
0.353590964 64
0.370572097 15
0.372489322 38
0.374680436 86
0.376323771 11
0.379610442 33
0.381253778 29
0.382897113 5
0.384540449 91
0.386731563 48
0.390566012 97
0.392209347 63
0.414668265 80
0.419050493 28
0.422337164 49
0.425076056 44
0.426719392 55
0.428910506 44
0.430553841 77
0.432197177 29
0.433840512 95
0.437127183 7
0.439318297 91
0.442057189 79
0.444248303 61
0.446987196 71
0.448630531 42
0.450821645 19
0.461229436 79
0.464516107 58
0.466159442 35
0.467802778 39
0.469446113 99
0.471089449 81
0.472732784 58
0.474923898 10
0.478210569 23
0.479306126 83
0.48149724 62
0.484236132 97
0.487248914 27
0.488892249 85
0.491631142 54
0.493274477 29
0.496561148 61
0.499847819 84
0.501491154 75
0.50313449 67
0.505873382 80
0.509160053 88
0.510803389 3
0.51409006 88
0.517924509 4
0.520115623 23
0.522306737 78
0.524497851 23
0.526141186 23
0.5283323 14
0.530523414 96
0.532166749 73
0.533810085 43
0.536548977 78
0.53928787 38
0.542574541 54
0.544765655 0
0.547504547 99
0.549695661 87
0.559007895 25
0.563390123 38
0.565033458 99
0.566676794 64
0.568320129 5
0.569963465 62
0.5716068 98
0.573250136 94
0.57544125 33
0.577084585 64
0.579275699 60
0.582014591 23
0.583657927 76
0.585849041 90
0.587492376 89
0.589135712 16
0.591874604 13
0.594065718 59
0.596256832 22
0.598447946 91
0.60036517 68
0.603651841 75
0.605295177 34
0.608034069 72
0.610772962 71
0.613511854 73
0.615155189 1
0.617894082 57
0.620632974 95
0.622824088 60
0.625562981 66
0.627206316 95
0.628849651 38
0.631040765 35
0.632684101 63
0.634327436 69
0.63651855 48
0.638161886 25
0.639805221 25
0.641448557 71
0.643091892 82
0.651856348 83
0.653499683 60
0.655690797 50
0.657334133 20
0.658977468 98
0.66171636 33
0.663359696 16
0.66555081 22
0.667194145 20
0.669385259 17
0.672124152 11
0.673767487 2
0.676506379 2
0.67979305 4
0.681436386 29
0.684175278 17
0.686914171 40
0.688557506 51
0.690200841 86
0.691844177 40
0.693487512 76
0.695678626 78
0.696774183 54
0.699513076 90
0.702251968 86
0.703895304 2
0.705538639 44
0.708277531 80
0.710468645 67
0.712111981 14
0.714576984 79
0.716768098 12
0.718411433 36
0.721150326 55
0.723889218 55
0.725532554 97
0.728271446 83
0.731010338 36
0.732653674 99
0.737035902 82
0.755112592 92
0.756755927 56
0.758399262 23
0.760042598 59
0.761685933 33
0.764424826 60
0.767163718 50
0.768807054 8
0.769902611 78
0.772641503 0
0.775380395 1
0.777023731 30
0.779214845 72
0.781953737 19
0.784144851 15
0.786335965 99
0.7879793 10
0.790718193 60
0.792909307 22
0.795100421 97
0.797291535 81
0.798387092 53
0.801673763 37
0.804412655 73
0.80605599 43
0.807699326 55
0.810985997 60
0.813724889 72
0.81701156 94
0.818654895 28
0.820298231 2
0.823037123 29
0.824680459 61
0.826323794 55
0.829336576 23
0.832075468 24
0.833718804 67
0.835362139 83
0.837005475 94
0.838101032 10
0.839744367 29
0.843031038 10
0.853986608 92
0.8567255 10
0.860012171 45
0.861107728 40
0.864942177 98
0.866037734 22
0.869872183 80
0.873158854 62
0.87480219 73
0.876445525 78
0.878088861 42
0.879732196 25
0.882471089 80
0.885209981 20
0.887401095 63
0.88904443 7
0.890687766 15
0.893974437 85
0.895617772 44
0.896713329 70
0.898356665 51
