seconds district
0.000541842 50
0.002167369 50
0.004334738 50
0.010295003 50
0.026008429 50
0.043889223 50
0.050933173 50
0.063937387 50
0.089674895 50
0.092925948 50
0.097260686 50
0.110264901 50
0.129771222 50
0.131396749 50
0.167700181 50
0.169325707 50
0.170409392 50
0.186122818 50
0.192624925 50
0.231908489 50
0.233534016 50
0.235701385 50
0.330794702 50
0.333503913 50
0.350842866 50
0.353552077 50
0.364388922 50
0.381186033 50
0.434015653 50
0.443226972 50
0.448103552 50
0.453521975 50
0.460024082 50
0.470860927 50
0.475195665 50
0.478988561 50
0.483865141 50
0.501745936 50
0.508789886 50
0.52667068 50
0.535881999 50
0.538320289 50
0.540487658 50
0.544822396 50
0.555117399 50
0.583835039 50
0.592504515 50
0.5935882 50
0.617429259 50
0.622847682 50
0.626098736 50
0.637477423 50
0.641812161 50
0.651294401 50
0.671342565 50
0.688139675 50
0.698434678 50
0.716315473 50
0.721192053 50
0.723901264 50
0.742865744 50
0.752618904 50
0.761830223 50
0.774021674 50
0.784858519 50
0.800030102 50
0.801655629 50
0.816827213 50
0.821161951 50
0.828747742 50
0.843919326 50
0.852588802 50
0.869385912 50
0.876429862 50
0.895665262 50
0.896748946 50
0.006502107 51
0.024924744 51
0.03359422 51
0.065021072 51
0.067188441 51
0.070439494 51
0.073690548 51
0.089133052 51
0.107013847 51
0.120018061 51
0.167158338 51
0.174202288 51
0.181788079 51
0.196417821 51
0.237868754 51
0.336754967 51
0.349217339 51
0.354635762 51
0.356261288 51
0.36872366 51
0.389855509 51
0.390939193 51
0.394190247 51
0.395815774 51
0.396899458 51
0.397983143 51
0.403943408 51
0.405568934 51
0.406652619 51
0.423449729 51
0.429139073 51
0.432931969 51
0.451354606 51
0.465984347 51
0.47627935 51
0.477904877 51
0.50499699 51
0.531005418 51
0.546447923 51
0.547531607 51
0.554033715 51
0.574081878 51
0.577874774 51
0.589253462 51
0.625556893 51
0.62718242 51
0.635851896 51
0.642895846 51
0.654545455 51
0.668091511 51
0.67730283 51
0.690307044 51
0.696267309 51
0.699518362 51
0.713606261 51
0.719024684 51
0.729861529 51
0.741782059 51
0.748826008 51
0.757495485 51
0.771854305 51
0.790818784 51
0.791902468 51
0.814118001 51
0.826580373 51
0.841210114 51
0.844461168 51
0.850963275 51
0.856381698 51
0.881035521 51
0.88320289 51
0.888621312 51
0.017338952 52
0.022757375 52
0.059060807 52
0.064479229 52
0.066646598 52
0.068272125 52
0.075316075 52
0.090216737 52
0.104304636 52
0.10538832 52
0.109181216 52
0.116225166 52
0.117850692 52
0.166616496 52
0.180704395 52
0.183955449 52
0.188832029 52
0.2346177 52
0.240036123 52
0.296387718 52
0.29909693 52
0.34704997 52
0.355719446 52
0.387146297 52
0.407736303 52
0.40936183 52
0.436724865 52
0.45243829 52
0.486032511 52
0.504455148 52
0.513124624 52
0.515833835 52
0.539403974 52
0.548615292 52
0.556742926 52
0.55782661 52
0.572998194 52
0.579500301 52
0.580583986 52
0.582751355 52
0.612552679 52
0.624473209 52
0.631517158 52
0.655629139 52
0.656712824 52
0.669175196 52
0.679470199 52
0.681637568 52
0.691932571 52
0.702769416 52
0.703853101 52
0.715231788 52
0.717399157 52
0.736905479 52
0.755328116 52
0.759662854 52
0.78756773 52
0.810866948 52
0.817910897 52
0.826038531 52
0.846628537 52
0.847712222 52
0.867218543 52
0.868302228 52
0.871553281 52
0.015713426 53
0.036303432 53
0.06231186 53
0.069897652 53
0.098344371 53
0.111890427 53
0.112974112 53
0.114057797 53
0.121643588 53
0.123810957 53
0.166074654 53
0.24166165 53
0.296929561 53
0.298555087 53
0.325918122 53
0.359512342 53
0.361137869 53
0.383353402 53
0.444310656 53
0.446478025 53
0.455689344 53
0.457856713 53
0.463816978 53
0.468693558 53
0.472486454 53
0.500662252 53
0.502829621 53
0.525586996 53
0.543738712 53
0.549698977 53
0.590337146 53
0.601173992 53
0.604966887 53
0.620680313 53
0.630433474 53
0.632600843 53
0.638561108 53
0.658880193 53
0.6653823 53
0.678386514 53
0.682721252 53
0.697350993 53
0.704936785 53
0.706562312 53
0.727152318 53
0.749909693 53
0.758579169 53
0.765352197 53
0.770228778 53
0.776189043 53
0.78269115 53
0.803822998 53
0.86180012 53
0.878326309 53
0.879409994 53
0.003251054 54
0.005418423 54
0.028175798 54
0.032510536 54
0.034677905 54
0.037928958 54
0.041721854 54
0.044972908 54
0.047140277 54
0.055267911 54
0.057977122 54
0.072606863 54
0.090216737 54
0.091842264 54
0.120559904 54
0.133564118 54
0.171493076 54
0.177995184 54
0.17962071 54
0.195334136 54
0.295845876 54
0.329711017 54
0.339464178 54
0.349759181 54
0.362221553 54
0.366556291 54
0.369807345 54
0.371974714 54
0.38768814 54
0.411529199 54
0.424804335 54
0.462191451 54
0.487116195 54
0.506080674 54
0.507164359 54
0.524503311 54
0.528838049 54
0.532089103 54
0.53371463 54
0.536965683 54
0.571372667 54
0.595755569 54
0.629349789 54
0.634768212 54
0.636393739 54
0.647230584 54
0.649397953 54
0.667007827 54
0.672426249 54
0.683804937 54
0.689223359 54
0.712522577 54
0.735821794 54
0.747742324 54
0.760746538 54
0.762913907 54
0.802739314 54
0.804906683 54
0.84012643 54
0.842835641 54
0.858549067 54
0.874262492 54
0.891872366 54
0.897832631 54
0.009211318 55
0.095093317 55
0.096177002 55
0.10051174 55
0.173118603 55
0.176369657 55
0.301806141 55
0.331336544 55
0.338380494 55
0.342715232 55
0.343798916 55
0.344882601 55
0.358428657 55
0.365472607 55
0.375225768 55
0.376851294 55
0.377934979 55
0.382269717 55
0.424262492 55
0.425888019 55
0.437808549 55
0.44051776 55
0.441601445 55
0.454063817 55
0.462733293 55
0.467609874 55
0.469777243 55
0.541571343 55
0.551866346 55
0.569205298 55
0.570830825 55
0.574623721 55
0.587086093 55
0.594671884 55
0.597922938 55
0.602257676 55
0.603883203 55
0.612010837 55
0.645063215 55
0.646146899 55
0.652378085 55
0.659963877 55
0.685972306 55
0.700602047 55
0.707645996 55
0.734196267 55
0.772937989 55
0.775105358 55
0.77781457 55
0.781607465 55
0.788651415 55
0.805990367 55
0.808699579 55
0.827664058 55
0.829831427 55
0.830915111 55
0.837417219 55
0.882119205 55
0.884286574 55
0.892956051 55
0.011378688 56
0.013004214 56
0.014087899 56
0.016255268 56
0.02384106 56
0.048765804 56
0.0525587 56
0.054184226 56
0.061228176 56
0.090758579 56
0.103220951 56
0.13410596 56
0.231366647 56
0.232992173 56
0.238952438 56
0.328627333 56
0.332420229 56
0.351384708 56
0.374142083 56
0.410445515 56
0.456773028 56
0.464900662 56
0.473570138 56
0.502287778 56
0.503371463 56
0.508248043 56
0.542655027 56
0.575707405 56
0.57679109 56
0.600090307 56
0.608217941 56
0.610927152 56
0.613636364 56
0.61526189 56
0.619596629 56
0.621763998 56
0.633684527 56
0.639644792 56
0.643437688 56
0.663756773 56
0.664840458 56
0.673509934 56
0.709271523 56
0.722275738 56
0.730945214 56
0.733112583 56
0.746658639 56
0.754786273 56
0.766435882 56
0.768061409 56
0.778356412 56
0.780523781 56
0.783774834 56
0.789735099 56
0.813034317 56
0.833624323 56
0.839042745 56
0.849879591 56
0.854756171 56
0.862883805 56
0.870469597 56
0.873178808 56
0.886453943 56
0.889704997 56
0.893497893 56
0.018964479 57
0.020048164 57
0.021673691 57
0.027092113 57
0.029801325 57
0.099428055 57
0.108097532 57
0.118934377 57
0.175285972 57
0.185039133 57
0.18666466 57
0.19154124 57
0.295304034 57
