Threads SE Delegation DORA
1 0 0 0
2 0.023017903 0.115089514 0.130434783
4 0.084398977 0.406649616 0.406649616
8 0.176470588 0.928388747 0.836317136
18 0.329923274 2.248081841 2.002557545
36 0.514066496 5.194373402 6.099744246
54 0.698209719 9.015345269 10.59590793
72 0.849104859 13.71867008 17.89002558
