Threads NO_WAIT 2V_NO_WAIT DL_DETECT SILO PSE
1 0.274078862 0.336134454 0.274078862 0.263736264 0.36199095
2 0.648998061 0.742081448 0.524886878 0.617970265 0.462831286
4 1.207498384 1.424692954 0.928248222 1.176470588 0.524886878
8 2.355526826 2.696832579 1.610859729 2.293471235 0.711053652
18 4.992889463 5.768584357 3.193277311 4.899806076 1.199741435
36 9.212669683 8.65416936 4.806722689 10.23658694 0.928248222
54 9.895281189 8.592113769 6.047834518 14.85972851 0.928248222
72 10.13057531 8.817065288 6.567550097 19.09760827 1.083387201
