seconds district
0 88
0.001643335 51
0.020267713 5
0.036427223 50
0.038618337 47
0.040261673 6
0.041905008 30
0.044643901 8
0.047930617 49
0.049573953 44
0.051217288 50
0.055051692 92
0.058886141 57
0.061077255 24
0.064363926 91
0.072032825 23
0.074223939 94
0.075867274 93
0.07751061 11
0.088466179 14
0.09175285 83
0.093396186 98
0.095587299 81
0.097778413 22
0.117498439 41
0.132836236 61
0.134479572 6
0.137218464 6
0.140505135 65
0.14242236 70
0.144065695 67
0.145709031 11
0.148447923 51
0.14954348 4
0.17474129 46
0.178027961 64
0.179671296 88
0.181314632 55
0.202130214 71
0.206512442 45
0.217468012 28
0.219659126 37
0.221850239 16
0.233353588 39
0.234996923 6
0.236640259 96
0.238283594 71
0.241570265 0
0.243761379 23
0.247595828 6
0.249239164 76
0.25772973 4
0.259920844 28
0.262111958 75
0.264303072 15
0.278545312 92
0.28292754 14
0.284570876 32
0.287309768 25
0.288953104 17
0.290596439 21
0.292239774 47
0.294430888 3
0.296074224 18
0.297717559 5
0.299360895 98
0.301552009 0
0.303743123 81
0.305386458 73
0.307029793 15
0.308673129 8
0.3119598 68
0.313603135 55
0.315246471 57
0.317985363 16
0.320176477 88
0.321272034 82
0.332227604 43
0.334966496 33
0.338800945 65
0.340444281 57
0.342635395 77
0.34427873 93
0.349208737 27
0.35139985 28
0.353043186 16
0.3552343 23
0.357425414 0
0.374680436 21
0.37687155 79
0.379062664 52
0.381253778 76
0.385088227 15
0.388374898 14
0.390018233 2
0.391661569 38
0.393304904 35
0.405903809 28
0.407547145 10
0.409738259 71
0.412477151 66
0.414120487 20
0.415763822 92
0.417954936 8
0.42014605 15
0.421789385 37
0.426171613 56
0.42726717 83
0.439866075 99
0.441509411 40
0.444248303 94
0.445891639 26
0.447534974 65
0.449178309 77
0.450821645 31
0.45246498 99
0.454108316 68
0.455751651 62
0.457394987 48
0.459586101 94
0.461229436 94
0.466707221 65
0.472185006 66
0.48149724 99
0.483140575 35
0.486701135 12
0.488344471 36
0.489987806 77
0.492726699 41
0.494370034 4
0.49601337 61
0.499300041 56
0.501491154 43
0.50313449 72
0.505873382 79
0.507516718 18
0.510803389 36
0.512994503 49
0.515733395 6
0.517924509 24
0.519567844 70
0.52121118 0
0.523950072 23
0.527236743 72
0.53928787 5
0.540931205 57
0.543670098 27
0.545313433 72
0.546956768 90
0.550243439 3
0.551886775 89
0.555173446 17
0.556816781 17
0.559007895 75
0.561199009 69
0.563937901 40
0.566129015 7
0.568320129 96
0.572154579 56
0.573797914 50
0.575989028 87
0.577632363 37
0.579275699 33
0.582014591 23
0.584753484 24
0.588040155 25
0.591326825 60
0.594613496 37
0.597352389 78
0.598995724 61
0.601460727 60
0.603104063 21
0.605842955 69
0.608034069 50
0.610225183 38
0.627206316 67
0.630492987 39
0.632684101 64
0.634327436 59
0.637066329 71
0.640353 75
0.642544114 94
0.645283006 68
0.646926341 18
0.649117455 2
0.651856348 64
0.655143019 13
0.656786354 81
0.659525246 21
0.66171636 64
0.66555081 90
0.667194145 85
0.668837481 30
0.670480816 77
0.67267193 56
0.674315265 73
0.675958601 12
0.677601936 3
0.679245272 78
0.680888607 1
0.6836275 76
0.686366392 25
0.689105284 12
0.691296398 51
0.695130848 9
0.697321962 52
0.698965297 16
0.701156411 84
0.702799747 28
0.706086417 19
0.716220319 71
0.718411433 62
0.721150326 13
0.723889218 65
0.726080332 68
0.728271446 72
0.732653674 94
0.735392566 39
0.737035902 5
0.738679237 86
0.740870351 36
0.742513686 22
0.744157022 72
0.747991471 33
0.750182585 15
0.752921478 73
0.755112592 36
0.760042598 36
0.761685933 95
0.764424826 73
0.766068161 93
0.769354832 55
0.770998168 95
0.77373706 60
0.775380395 13
0.777023731 95
0.779214845 8
0.782501516 63
0.784144851 81
0.786335965 40
0.789622636 29
0.79181375 56
0.793457085 52
0.796195978 9
0.797839313 12
0.799482649 88
0.802769319 12
0.810438218 34
0.820298231 74
0.823037123 5
0.824680459 29
0.826871573 38
0.829336576 18
0.830979911 84
0.833171025 14
0.834814361 19
0.837553253 68
0.841387702 21
0.843578816 2
0.847413266 29
0.849056601 38
0.851795494 66
0.854534386 61
0.856177721 38
0.858368835 34
0.860012171 20
0.862203285 86
0.864942177 46
0.86768107 10
0.87096774 48
0.873158854 11
0.875349968 65
0.876993304 34
0.878636639 72
0.880827753 6
0.882471089 8
0.885757759 8
0.887948873 16
0.889592209 17
0.892331101 11
0.893974437 17
0.895617772 81
0.9 45
