Threads SE Delegation DORA
1 0.221199547 0.232063372 0.216371181
2 0.438476047 0.294832139 0.252583931
4 0.630403621 0.384156922 0.296743367
8 0.669131145 0.329837797 0.264654847
18 0.54952848 0.175330064 0.088419464
36 0.133081856 0.092040739 0.024443606
54 0.049792531 0.055827989 0.011165598
72 0.02796429 0.032792657 0.00724255
