Threads SE Delegation
1 0.215493867 0.223886378
2 0.435506779 0.319302776
4 0.638476436 0.502130407
8 0.887669464 0.66946417
18 0.726791478 0.75726275
36 0.184506133 0.559457715
54 0.088444158 0.50987734
72 0.05087153 0.362685604
